,0,type,number,honor,index
0,tong1,tong,1,False,0
1,tong1,tong,1,False,1
2,tong1,tong,1,False,2
3,tong1,tong,1,False,3
4,tong2,tong,2,False,4
5,tong2,tong,2,False,5
6,tong2,tong,2,False,6
7,tong2,tong,2,False,7
8,tong3,tong,3,False,8
9,tong3,tong,3,False,9
10,tong3,tong,3,False,10
11,tong3,tong,3,False,11
12,tong4,tong,4,False,12
13,tong4,tong,4,False,13
14,tong4,tong,4,False,14
15,tong4,tong,4,False,15
16,tong5,tong,5,False,16
17,tong5,tong,5,False,17
18,tong5,tong,5,False,18
19,tong5,tong,5,False,19
20,tong6,tong,6,False,20
21,tong6,tong,6,False,21
22,tong6,tong,6,False,22
23,tong6,tong,6,False,23
24,tong7,tong,7,False,24
25,tong7,tong,7,False,25
26,tong7,tong,7,False,26
27,tong7,tong,7,False,27
28,tong8,tong,8,False,28
29,tong8,tong,8,False,29
30,tong8,tong,8,False,30
31,tong8,tong,8,False,31
32,tong9,tong,9,False,32
33,tong9,tong,9,False,33
34,tong9,tong,9,False,34
35,tong9,tong,9,False,35
36,tiao1,tiao,1,False,36
37,tiao1,tiao,1,False,37
38,tiao1,tiao,1,False,38
39,tiao1,tiao,1,False,39
40,tiao2,tiao,2,False,40
41,tiao2,tiao,2,False,41
42,tiao2,tiao,2,False,42
43,tiao2,tiao,2,False,43
44,tiao3,tiao,3,False,44
45,tiao3,tiao,3,False,45
46,tiao3,tiao,3,False,46
47,tiao3,tiao,3,False,47
48,tiao4,tiao,4,False,48
49,tiao4,tiao,4,False,49
50,tiao4,tiao,4,False,50
51,tiao4,tiao,4,False,51
52,tiao5,tiao,5,False,52
53,tiao5,tiao,5,False,53
54,tiao5,tiao,5,False,54
55,tiao5,tiao,5,False,55
56,tiao6,tiao,6,False,56
57,tiao6,tiao,6,False,57
58,tiao6,tiao,6,False,58
59,tiao6,tiao,6,False,59
60,tiao7,tiao,7,False,60
61,tiao7,tiao,7,False,61
62,tiao7,tiao,7,False,62
63,tiao7,tiao,7,False,63
64,tiao8,tiao,8,False,64
65,tiao8,tiao,8,False,65
66,tiao8,tiao,8,False,66
67,tiao8,tiao,8,False,67
68,tiao9,tiao,9,False,68
69,tiao9,tiao,9,False,69
70,tiao9,tiao,9,False,70
71,tiao9,tiao,9,False,71
72,wan1,wan,1,False,72
73,wan1,wan,1,False,73
74,wan1,wan,1,False,74
75,wan1,wan,1,False,75
76,wan2,wan,2,False,76
77,wan2,wan,2,False,77
78,wan2,wan,2,False,78
79,wan2,wan,2,False,79
80,wan3,wan,3,False,80
81,wan3,wan,3,False,81
82,wan3,wan,3,False,82
83,wan3,wan,3,False,83
84,wan4,wan,4,False,84
85,wan4,wan,4,False,85
86,wan4,wan,4,False,86
87,wan4,wan,4,False,87
88,wan5,wan,5,False,88
89,wan5,wan,5,False,89
90,wan5,wan,5,False,90
91,wan5,wan,5,False,91
92,wan6,wan,6,False,92
93,wan6,wan,6,False,93
94,wan6,wan,6,False,94
95,wan6,wan,6,False,95
96,wan7,wan,7,False,96
97,wan7,wan,7,False,97
98,wan7,wan,7,False,98
99,wan7,wan,7,False,99
100,wan8,wan,8,False,100
101,wan8,wan,8,False,101
102,wan8,wan,8,False,102
103,wan8,wan,8,False,103
104,wan9,wan,9,False,104
105,wan9,wan,9,False,105
106,wan9,wan,9,False,106
107,wan9,wan,9,False,107
108,dong,dong,0,True,108
109,dong,dong,0,True,109
110,dong,dong,0,True,110
111,dong,dong,0,True,111
112,nan,nan,0,True,112
113,nan,nan,0,True,113
114,nan,nan,0,True,114
115,nan,nan,0,True,115
116,xi,xi,0,True,116
117,xi,xi,0,True,117
118,xi,xi,0,True,118
119,xi,xi,0,True,119
120,bei,bei,0,True,120
121,bei,bei,0,True,121
122,bei,bei,0,True,122
123,bei,bei,0,True,123
124,hz,hz,0,True,124
125,hz,hz,0,True,125
126,hz,hz,0,True,126
127,hz,hz,0,True,127
128,bb,bb,0,True,128
129,bb,bb,0,True,129
130,bb,bb,0,True,130
131,bb,bb,0,True,131
132,fc,fc,0,True,132
133,fc,fc,0,True,133
134,fc,fc,0,True,134
135,fc,fc,0,True,135
136,flower1,flower,1,False,136
137,flower1,flower,1,False,137
138,flower2,flower,2,False,138
139,flower2,flower,2,False,139
140,flower3,flower,3,False,140
141,flower3,flower,3,False,141
142,flower4,flower,4,False,142
143,flower4,flower,4,False,143
