,hand,flowers,score,wind,dir,flowernum,pairs,pongs,kongs,halfchi,suites missing
0,"['tong1', 'tong5', 'tong5', 'tiao1', 'tiao2', 'tiao5', 'tiao9', 'wan1', 'wan4', 'wan5', 'wan8', 'hz', 'fc']",[],5,3,2,0,1,0,0,2,0
1,"['tong1', 'tong4', 'tong6', 'tiao1', 'tiao4', 'tiao7', 'wan3', 'wan4', 'wan6', 'wan8', 'xi', 'bei', 'fc']","['flower1', 'flower2']",4,3,3,2,0,0,0,4,0
2,"['tong1', 'tong6', 'tong7', 'tong7', 'tiao6', 'tiao9', 'wan1', 'wan4', 'wan6', 'wan7', 'bb', 'fc', 'fc']",['flower2'],9,3,2,1,2,0,0,3,0
3,"['tong2', 'tong4', 'tong5', 'tong5', 'tong6', 'tong9', 'tiao2', 'tiao6', 'tiao9', 'wan1', 'wan4', 'wan5', 'hz']",[],8,2,1,0,1,0,0,5,0
4,"['tong1', 'tong5', 'tong8', 'tiao4', 'tiao6', 'tiao6', 'tiao8', 'tiao9', 'wan2', 'wan4', 'dong', 'hz', 'bb']",['flower4'],8,4,3,1,1,0,0,5,0
5,"['tong1', 'tong5', 'tong7', 'tiao1', 'tiao1', 'tiao1', 'tiao3', 'tiao6', 'wan4', 'wan7', 'wan9', 'nan', 'hz']",[],11,4,2,0,1,1,0,5,0
6,"['tong3', 'tong4', 'tong5', 'tiao7', 'wan1', 'wan1', 'wan2', 'wan7', 'wan7', 'wan9', 'dong', 'bb', 'fc']","['flower1', 'flower4']",12,1,4,2,2,0,0,6,0
7,"['tong2', 'tong2', 'tong8', 'tong8', 'tong9', 'tong9', 'tiao1', 'tiao6', 'tiao7', 'wan2', 'wan7', 'dong', 'hz']",[],10,2,2,0,3,0,0,3,0
8,"['tong1', 'tong5', 'tong7', 'tiao3', 'tiao6', 'wan6', 'wan8', 'wan9', 'bei', 'bei', 'bb', 'bb']","['flower1', 'flower4']",10,1,3,2,2,0,0,3,0
9,"['tong5', 'tong7', 'tiao2', 'tiao6', 'tiao6', 'tiao9', 'wan2', 'wan4', 'wan4', 'wan9', 'xi', 'hz', 'hz']",[],10,4,4,0,3,0,0,2,0
10,"['tong1', 'tong7', 'tong8', 'tiao4', 'tiao8', 'tiao9', 'tiao9', 'wan1', 'wan4', 'wan5', 'wan6', 'wan8', 'fc']",['flower3'],7,1,1,1,1,0,0,5,0
11,"['tong2', 'tong9', 'tong9', 'tong9', 'tiao2', 'wan1', 'wan3', 'wan4', 'wan4', 'wan5', 'dong', 'dong', 'fc']",[],15,3,3,0,3,1,0,4,0
12,"['tong2', 'tong4', 'tong7', 'tong8', 'tiao2', 'tiao4', 'tiao4', 'tiao6', 'wan2', 'wan3', 'wan8', 'wan8', 'bb']",[],11,2,2,0,2,0,0,6,0
13,"['tong2', 'tong3', 'tong4', 'tong5', 'tong7', 'tong8', 'tiao3', 'tiao8', 'wan7', 'nan', 'xi', 'bei', 'fc']","['flower1', 'flower1']",5,2,4,2,0,0,0,5,0
14,"['tong2', 'tong4', 'tong7', 'tong8', 'tong8', 'tong9', 'tiao8', 'tiao8', 'wan3', 'wan5', 'wan6', 'wan8', 'wan9']",[],13,3,2,0,2,0,0,8,0
15,"['tong2', 'tong3', 'tong6', 'tiao2', 'tiao7', 'tiao7', 'wan2', 'wan6', 'wan7', 'wan8', 'wan8', 'xi', 'bb']",[],8,4,1,0,2,0,0,3,0
16,"['tong1', 'tong4', 'tong4', 'tong6', 'tong6', 'tiao1', 'tiao7', 'wan2', 'wan5', 'dong', 'nan', 'bei', 'fc']","['flower1', 'flower1']",7,3,1,2,2,0,0,2,0
17,"['tiao2', 'tiao5', 'tiao6', 'tiao7', 'tiao8', 'tiao8', 'wan1', 'wan4', 'wan8', 'wan9', 'nan', 'xi', 'bei']",['flower2'],12,2,2,1,1,0,0,4,1
18,"['tong4', 'tong6', 'tong6', 'tong6', 'tiao5', 'tiao6', 'tiao9', 'wan1', 'wan1', 'wan3', 'wan5', 'wan9', 'fc']",['flower2'],13,4,2,1,2,1,0,5,0
19,"['tong5', 'tong9', 'tiao1', 'tiao6', 'wan1', 'wan3', 'wan6', 'wan7', 'wan8', 'dong', 'nan', 'hz', 'fc']","['flower1', 'flower3']",3,2,4,2,0,0,0,3,0
20,"['tong1', 'tong8', 'tong8', 'tiao2', 'tiao4', 'tiao5', 'wan1', 'wan3', 'wan3', 'wan6', 'wan7', 'nan', 'bei']",[],9,2,1,0,2,0,0,4,0
21,"['tong4', 'tong6', 'tong7', 'tong9', 'tiao3', 'tiao4', 'tiao6', 'wan1', 'wan1', 'wan2', 'wan3', 'wan8', 'hz']",['flower1'],11,3,1,1,1,0,0,8,0
22,"['tong3', 'tong6', 'tong9', 'tiao3', 'tiao7', 'tiao8', 'wan2', 'wan3', 'wan4', 'wan8', 'bb', 'fc', 'fc']",[],7,4,1,0,1,0,0,3,0
23,"['tong1', 'tong2', 'tong3', 'tong9', 'tiao4', 'tiao5', 'tiao8', 'wan1', 'wan5', 'wan6', 'wan6', 'wan6', 'nan']",['flower1'],10,1,3,1,1,1,0,4,0
24,"['tong1', 'tong2', 'tong4', 'tong4', 'tong5', 'tong8', 'tiao1', 'tiao5', 'tiao6', 'tiao8', 'wan4', 'bb', 'fc']",['flower1'],8,4,4,1,1,0,0,6,0
25,"['tong4', 'tong4', 'tong5', 'tiao4', 'tiao5', 'tiao8', 'tiao9', 'wan5', 'wan6', 'wan6', 'wan7', 'bb']","['flower1', 'flower2', 'flower3', 'flower4']",13,1,4,4,2,0,0,7,0
26,"['tong4', 'tong6', 'tiao3', 'tiao3', 'tiao4', 'tiao5', 'tiao8', 'tiao8', 'wan3', 'wan4', 'wan7', 'wan9', 'xi']",[],11,2,3,0,2,0,0,6,0
